anio,cve_entidad,sexo,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2022,10,2,95572,95498,31809411.169999372,88575,37429,Durango
2022,1,1,206430,205930,107299605.35000312,189644,52216,Aguascalientes
2022,19,2,625632,625492,299042937.6600027,568973,138333,Nuevo León
2022,22,2,261541,261034,122962985.55000025,220915,67577,Querétaro
2022,26,1,388516,387396,190278304.610001,325629,98371,Sonora
2022,20,2,87048,86156,30389820.60999904,78713,76064,Oaxaca
2022,18,2,67310,66151,24189437.839999124,53290,31206,Nayarit
2022,32,1,121440,121045,58493067.8799982,100503,39712,Zacatecas
2022,25,2,225989,225098,76955254.49999678,204160,153618,Sinaloa
2022,6,2,56254,55757,21574842.269999444,49018,23527,Colima
2022,7,2,88315,86169,33208231.179998767,81278,103788,Chiapas
2022,10,1,161923,161370,65875865.50999829,145833,34633,Durango
2022,19,1,1146578,1145953,641141091.9800584,1033222,163139,Nuevo León
2022,23,1,297312,296340,121895536.77999848,196145,43177,Quintana Roo
2022,28,1,424853,423019,215001868.75001043,379559,77881,Tamaulipas
2022,5,2,301379,301253,120961564.35999776,276207,60097,Coahuila de Zaragoza
2022,17,2,88297,86982,34884385.919998854,78397,51416,Morelos
2022,18,1,101554,98142,38613763.20999855,71817,26458,Nayarit
2022,27,2,63297,62190,24351090.799999285,54361,68337,Tabasco
2024,14,1,1183738,1175188,709873772.5000136,1022483,289119,Jalisco
2024,27,2,68879,67745,32428828.319999617,60645,76378,Tabasco
2024,29,1,69879,69821,35046636.40999987,55240,39545,Tlaxcala
2024,5,1,543398,543138,347636561.33000416,484113,75894,Coahuila de Zaragoza
2024,31,2,164335,164321,76397018.02000457,153807,62252,Yucatán
2024,6,1,91713,90799,50363548.550000176,74230,28311,Colima
2024,27,1,147422,145264,80935489.280001,118830,80857,Tabasco
2024,9,1,2014343,2012233,1520584985.1799893,1719988,704527,Ciudad de México
2024,15,2,734972,734834,358719100.4400084,633997,453461,Estado México
