anio,cve_entidad,rango_uma,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,11,W14,5140,5140,5586327.659999995,4565,0,Guanajuato
2018,11,W1,639,639,56382.14000000013,596,0,Guanajuato
2018,14,W16,9866,9866,12307198.960000005,9050,0,Jalisco
2018,14,W1,2503,2503,210903.6900000002,2395,0,Jalisco
2018,14,,17659,0,0.0,17659,403444,Jalisco
2018,16,W12,3294,3294,3040495.3099999987,2846,0,Michoacán de Ocampo
2018,17,W21,425,425,702551.1000000001,399,0,Morelos
2018,17,W19,606,606,903102.0700000001,570,0,Morelos
2018,19,W25,38403,38403,77269731.03999996,36555,0,Nuevo León
2018,19,W23,3747,3747,6797271.080000001,3578,0,Nuevo León
2018,19,W4,213380,213380,59688865.43000024,187148,0,Nuevo León
2018,19,W5,145275,145275,52188508.12000019,128258,0,Nuevo León
2018,19,W7,85756,85756,44919164.67999985,77672,0,Nuevo León
2018,19,W17,8927,8927,11860885.769999994,8353,0,Nuevo León
2018,20,W11,2413,2413,2028236.1600000004,2110,0,Oaxaca
2018,20,W13,1316,1316,1325779.7799999989,1163,0,Oaxaca
2018,20,W21,220,220,363502.1700000003,202,0,Oaxaca
2018,20,W24,162,162,306715.16,157,0,Oaxaca
2018,20,W1,111,111,9785.540000000008,31,0,Oaxaca
2018,20,W22,214,214,370752.06000000023,203,0,Oaxaca
2018,21,W5,39588,39588,14243984.100000009,33213,0,Puebla
2018,21,W21,1036,1036,1711568.3500000008,918,0,Puebla
2018,24,W6,41694,41694,19031590.79000004,37827,0,San Luis Potosí
2018,24,W25,6442,6442,12960345.0,5906,0,San Luis Potosí
2018,24,W13,3336,3336,3357938.3000000035,2863,0,San Luis Potosí
2018,25,W4,49293,49293,13777172.099999947,39785,0,Sinaloa
2018,25,W15,1654,1654,1935891.1900000009,1464,0,Sinaloa
2018,25,W1,221,221,19409.75000000002,212,0,Sinaloa
2018,30,W14,6014,6014,6539055.720000005,5415,0,Veracruz de Ignacio de la Llave
2018,31,W2,161474,161474,17964660.259998925,144341,0,Yucatán
2018,31,W15,1121,1121,1307642.5100000007,1023,0,Yucatán
2018,31,W11,2348,2348,1986166.5499999993,2162,0,Yucatán
2018,31,W20,520,520,817384.6599999998,494,0,Yucatán
2018,9,W2,1197567,1197567,136072777.65000343,1041106,0,Ciudad de México
