anio,cve_entidad,rango_salarial,ta,ta_sal,masa_sal_ta,permanentes,no_trabajadores,entidad
2018,22,W13,5668,5668,6248145.369999991,4863,0,Querétaro
2018,22,W11,8115,8115,7512150.5799999945,6990,0,Querétaro
2018,24,W3,85185,85185,18576456.949999817,61617,0,San Luis Potosí
2018,9,W2,1323578,1323578,157437208.25000152,1147167,0,Ciudad de México
2018,9,W6,170676,170676,82868028.78999965,145949,0,Ciudad de México
2018,26,W10,7578,7578,6352191.940000006,6459,0,Sonora
2018,11,W22,1432,1432,2712974.180000001,1279,0,Guanajuato
2018,12,W23,1902,1902,3828091.3099999996,1831,0,Guerrero
2018,16,W5,26598,26598,10568120.430000007,22347,0,Michoacán de Ocampo
2018,17,W23,2219,2219,4465578.869999999,2112,0,Morelos
2018,17,W9,4704,4704,3504726.8900000034,4163,0,Morelos
2018,17,W22,303,303,573216.76,296,0,Morelos
2018,17,W1,227,227,20005.990000000027,154,0,Morelos
2018,32,W4,18750,18750,5752415.539999984,15295,0,Zacatecas
2018,32,W7,7800,7800,4448309.1,6273,0,Zacatecas
2018,3,W7,5438,5438,3102366.069999995,4075,0,Baja California Sur
2018,3,W21,292,292,528550.1799999999,265,0,Baja California Sur
2018,3,W16,671,671,918331.9000000008,520,0,Baja California Sur
2018,3,W20,455,455,783578.7100000003,404,0,Baja California Sur
2018,3,W17,594,594,864785.9700000006,485,0,Baja California Sur
2018,10,W16,817,817,1118681.1300000001,746,0,Durango
2018,31,W6,17499,17499,8514763.309999999,16374,0,Yucatán
2018,31,W13,1514,1514,1669477.8000000012,1336,0,Yucatán
2018,5,W1,323,323,28388.58000000003,178,0,Coahuila de Zaragoza
2018,18,,5482,0,0.0,5482,78457,Nayarit
2018,18,W2,65054,65054,7709780.609999448,52668,0,Nayarit
2018,18,W5,8208,8208,3244801.0600000066,5920,0,Nayarit
2018,18,W8,2973,2973,1955783.369999999,2576,0,Nayarit
2018,18,W11,1105,1105,1024135.7900000011,990,0,Nayarit
2018,18,W20,150,150,258165.26999999993,129,0,Nayarit
2018,18,W19,141,141,230395.87999999995,132,0,Nayarit
2018,21,W16,2739,2739,3749917.189999998,2493,0,Puebla
2018,21,W18,1450,1450,2239418.7800000007,1297,0,Puebla
2018,21,W21,932,932,1689114.9399999995,820,0,Puebla
2018,21,W7,18803,18803,10690249.840000005,15810,0,Puebla
2018,21,W8,13410,13410,8834482.809999991,11048,0,Puebla
2018,30,W5,46755,46755,18414648.330000028,39021,0,Veracruz de Ignacio de la Llave
2018,30,W20,1513,1513,2606701.9799999995,1449,0,Veracruz de Ignacio de la Llave
2018,27,W4,14160,14160,4329304.460000007,11232,0,Tabasco
2018,27,W11,1471,1471,1360580.0499999998,1231,0,Tabasco
2018,27,W13,853,853,941244.5699999996,754,0,Tabasco
2018,28,W3,167859,167859,36480696.10999997,151689,0,Tamaulipas
2018,28,W12,5425,5425,5507144.539999996,4887,0,Tamaulipas
2018,28,W23,7432,7432,14951194.17,6945,0,Tamaulipas
2018,7,W14,1187,1187,1419876.6099999994,1102,0,Chiapas
2018,7,W7,8125,8125,4657289.9,7367,0,Chiapas
2018,8,W2,300706,300706,38108470.869998485,265693,0,Chihuahua
2018,8,W7,28946,28946,16483827.99000001,26182,0,Chihuahua
2018,8,W14,4998,4998,5951545.139999991,4702,0,Chihuahua
2018,29,W3,23367,23367,5072377.6300000055,15954,0,Tlaxcala
2018,29,W14,524,524,625846.4099999999,479,0,Tlaxcala
2018,29,W13,589,589,648459.7100000008,509,0,Tlaxcala
2018,29,W11,796,796,738634.6400000002,686,0,Tlaxcala
2018,24,W1,151,151,13295.359999999993,108,0,San Luis Potosí
2018,20,W3,41026,41026,8821858.419999989,36319,0,Oaxaca
2018,20,W17,519,519,756376.8499999994,482,0,Oaxaca
2018,20,W23,1074,1074,2160828.239999999,1048,0,Oaxaca
2018,20,W1,111,111,9785.540000000008,31,0,Oaxaca
2018,1,W2,127664,127664,15060615.849998953,115576,0,Aguascalientes
2018,2,W22,1850,1850,3506973.290000002,1791,0,Baja California
2018,13,W6,10309,10309,5006981.529999996,7255,0,Hidalgo
2018,13,W23,1876,1876,3773915.8099999996,1714,0,Hidalgo
2018,13,W20,322,322,555082.1199999999,285,0,Hidalgo
2018,13,W1,583,583,51509.18000000003,556,0,Hidalgo
2018,14,W9,38849,38849,29082238.309999958,35654,0,Jalisco
2018,14,W22,3898,3898,7396025.170000003,3668,0,Jalisco
2018,14,W15,9561,9561,12239920.170000002,8739,0,Jalisco
2018,14,W18,5641,5641,8727214.259999994,5231,0,Jalisco
2018,15,W11,16875,16875,15618662.239999995,14519,0,Estado México
2018,22,W3,113960,113960,24779145.86999999,85296,0,Querétaro
2018,23,W2,260053,260053,30834534.12000036,186780,0,Quintana Roo
2018,24,,7971,0,0.0,7971,137612,San Luis Potosí
2018,24,W17,1589,1589,2314508.670000005,1413,0,San Luis Potosí
2018,26,W13,3649,3649,4019985.42,3084,0,Sonora
2018,26,W16,2130,2130,2917459.380000001,1930,0,Sonora
2018,11,W6,44357,44357,21486108.169999972,37698,0,Guanajuato
2018,11,W8,21390,21390,14136146.940000024,18679,0,Guanajuato
2018,11,W18,2200,2200,3399913.039999999,2008,0,Guanajuato
2018,12,,1847,0,0.0,1847,167256,Guerrero
2018,12,W17,532,532,776199.0700000003,486,0,Guerrero
2018,16,W13,2165,2165,2389085.4999999995,1873,0,Michoacán de Ocampo
2018,17,,5328,0,0.0,5328,102037,Morelos
2018,17,W5,15471,15471,6120293.190000006,13256,0,Morelos
2018,17,W8,5547,5547,3656694.350000003,4818,0,Morelos
2018,17,W15,1125,1125,1440110.5799999996,1058,0,Morelos
2018,17,W11,2589,2589,2399966.8099999977,2293,0,Morelos
2018,17,W16,865,865,1184766.52,816,0,Morelos
2018,32,W11,1957,1957,1805815.2600000005,1662,0,Zacatecas
2018,3,W3,34551,34551,7372313.39,23846,0,Baja California Sur
2018,3,W4,18597,18597,5680682.109999993,12814,0,Baja California Sur
2018,10,W5,12948,12948,5113289.480000012,11283,0,Durango
2018,10,W10,2388,2388,2004144.6000000006,2162,0,Durango
2018,4,,1014,0,0.0,1014,52047,Campeche
2018,4,W8,3594,3594,2378986.93,2821,0,Campeche
2018,4,W12,1499,1499,1511952.5400000003,1116,0,Campeche
2018,4,W22,364,364,689914.4999999999,311,0,Campeche
2018,4,W20,394,394,678561.5199999998,330,0,Campeche
2018,5,W11,9054,9054,8382468.369999997,7863,0,Coahuila de Zaragoza
2018,5,W14,5245,5245,6257645.950000001,4632,0,Coahuila de Zaragoza
2018,5,W17,2854,2854,4155666.1800000025,2700,0,Coahuila de Zaragoza
2018,21,W20,987,987,1701423.2400000005,885,0,Puebla
2018,25,W5,27363,27363,10818221.910000011,22948,0,Sinaloa
