entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Campeche,2024,3,False,106.18677844,-20.700337180000005
Campeche,2024,4,False,517.82123811,411.63445966999996
Campeche,2025,1,False,-2.59499069,-2.59499069
Campeche,2025,2,False,34.37360734,36.96859803
Campeche,2025,3,False,81.99413854,47.620531199999995
Campeche,2025,4,False,-8.95570085,-90.94983939
Chiapas,2006,1,False,34.478525,34.478525
Chiapas,2006,2,False,62.609874,28.131349
Chiapas,2006,3,False,71.485173,8.875299000000005
Chiapas,2006,4,False,89.256227,17.771053999999992
Chiapas,2007,1,False,79.718061,79.718061
Chiapas,2007,2,False,102.001322,22.283260999999996
Chiapas,2007,3,False,114.862621,12.861299000000002
Chiapas,2007,4,False,186.876594,72.01397300000001
Chiapas,2008,1,False,47.766641,47.766641
Chiapas,2008,2,False,74.645768,26.879127000000004
Chiapas,2008,3,False,51.987645,-22.658123000000003
Chiapas,2008,4,False,63.203183,11.215538000000002
Chiapas,2009,1,False,25.493197,25.493197
Chiapas,2009,2,False,53.82371519,28.330518190000003
Chiapas,2009,3,False,73.25809619,19.434381000000002
Chiapas,2009,4,False,91.88158019,18.62348399999999
Chiapas,2010,1,False,119.663712,119.663712
Chiapas,2010,2,False,142.345189,22.681477
Chiapas,2010,3,False,147.10572415,4.760535149999981
Chiapas,2010,4,False,157.67583615,10.570112000000023
Chiapas,2011,1,False,25.12878225,25.12878225
Chiapas,2011,2,False,60.90490925,35.776127
Chiapas,2011,3,False,72.81166725,11.906757999999996
Chiapas,2011,4,False,92.80881925,19.997152
Chiapas,2012,1,False,70.04933578,70.04933578
Chiapas,2012,2,False,71.76038442,1.7110486399999871
Chiapas,2012,3,False,89.14185253,17.38146811
Chiapas,2012,4,False,121.09168493,31.949832400000005
Chiapas,2013,1,False,64.23784573,64.23784573
Chiapas,2013,2,False,141.10528873,76.86744300000001
Chiapas,2013,3,False,167.13551811,26.03022937999998
Chiapas,2013,4,False,182.41397587,15.278457760000009
Chiapas,2014,1,False,96.07596284,96.07596284
Chiapas,2014,2,False,47.61135859,-48.46460425
Chiapas,2014,3,False,45.52898363,-2.0823749600000028
Chiapas,2014,4,False,36.56443398,-8.964549650000002
Chiapas,2015,1,False,83.76479986,83.76479986
Chiapas,2015,2,False,116.6024155,32.83761564000001
Chiapas,2015,3,False,224.23328542,107.63086991999998
Chiapas,2015,4,False,270.07558509,45.84229967000002
