entidad_federativa,tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Baja California Sur,Cuentas entre compañías,2020,1,False,37.47467746,37.47467746
Baja California Sur,Cuentas entre compañías,2020,2,False,102.21853738,64.74385992
Baja California Sur,Cuentas entre compañías,2020,3,False,141.58385662,39.365319240000005
Baja California Sur,Cuentas entre compañías,2020,4,False,102.17970192,-39.40415470000001
Baja California Sur,Cuentas entre compañías,2021,1,False,0.68441579,0.68441579
Baja California Sur,Cuentas entre compañías,2021,2,False,-2.50615705,-3.19057284
Baja California Sur,Cuentas entre compañías,2021,3,False,-17.67996211,-15.173805060000001
Baja California Sur,Cuentas entre compañías,2021,4,False,-48.50675247,-30.82679036
Baja California Sur,Cuentas entre compañías,2022,1,False,10.57283942,10.57283942
Baja California Sur,Cuentas entre compañías,2022,2,False,12.51750037,1.9446609500000012
Baja California Sur,Cuentas entre compañías,2022,3,False,3.78152242,-8.73597795
Baja California Sur,Cuentas entre compañías,2022,4,False,25.42273044,21.64120802
Baja California Sur,Cuentas entre compañías,2023,1,False,-1.96945312,-1.96945312
Baja California Sur,Cuentas entre compañías,2023,2,False,4.77653249,6.74598561
Baja California Sur,Cuentas entre compañías,2023,3,False,112.14870984,107.37217735
Baja California Sur,Cuentas entre compañías,2023,4,False,81.38666713,-30.76204270999999
Baja California Sur,Cuentas entre compañías,2024,1,False,-1.92224527,-1.92224527
Baja California Sur,Cuentas entre compañías,2024,2,False,16.76170583,18.6839511
Baja California Sur,Cuentas entre compañías,2024,3,False,-11.72921955,-28.49092538
Baja California Sur,Cuentas entre compañías,2024,4,False,15.13563941,26.86485896
Baja California Sur,Cuentas entre compañías,2025,1,False,-4.59959768,-4.59959768
Baja California Sur,Cuentas entre compañías,2025,2,False,-7.53506754,-2.9354698600000004
Baja California Sur,Cuentas entre compañías,2025,3,False,-7.56538955,-0.0303220099999999
Baja California Sur,Cuentas entre compañías,2025,4,False,34.03938379,41.60477334
Campeche,Cuentas entre compañías,2006,1,False,2.224324,2.224324
Campeche,Cuentas entre compañías,2006,2,False,3.187098,0.962774
Campeche,Cuentas entre compañías,2006,3,False,10.407171,7.220072999999999
Campeche,Cuentas entre compañías,2006,4,False,-3.408104,-13.815275
Campeche,Cuentas entre compañías,2007,1,False,-4.712369,-4.712369
Campeche,Cuentas entre compañías,2007,2,False,-8.063296,-3.3509269999999995
Campeche,Cuentas entre compañías,2007,3,False,-95.526234,-87.46293800000001
Campeche,Cuentas entre compañías,2007,4,False,-101.634694,-6.108459999999994
Campeche,Cuentas entre compañías,2008,1,False,-0.951096,-0.951096
Campeche,Cuentas entre compañías,2008,2,False,105.578062,106.52915800000001
Campeche,Cuentas entre compañías,2008,3,False,99.855009,-5.723053000000007
Campeche,Cuentas entre compañías,2008,4,False,112.858558,13.003549000000007
Campeche,Cuentas entre compañías,2009,1,False,-11.137851,-11.137851
Campeche,Cuentas entre compañías,2009,2,False,-19.719596,-8.581745
Campeche,Cuentas entre compañías,2009,3,False,-17.115767,2.6038289999999975
Campeche,Cuentas entre compañías,2009,4,False,-37.31584,-20.200073
Campeche,Cuentas entre compañías,2010,1,False,35.672442,35.672442
Campeche,Cuentas entre compañías,2010,2,False,17.444472,-18.227969999999996
Campeche,Cuentas entre compañías,2010,3,False,24.349984,6.905511999999998
Campeche,Cuentas entre compañías,2010,4,False,14.911943,-9.438040999999998
Campeche,Cuentas entre compañías,2011,1,False,3.088452,3.088452
Campeche,Cuentas entre compañías,2011,2,False,-10.608099,-13.696551
Campeche,Cuentas entre compañías,2011,3,False,-76.598149,-65.99005000000001
Campeche,Cuentas entre compañías,2011,4,False,-66.878728,9.719421000000011
Campeche,Cuentas entre compañías,2012,1,False,-56.161408,-56.161408
Campeche,Cuentas entre compañías,2012,2,False,-5.526138,50.63527
Campeche,Cuentas entre compañías,2012,3,False,195.468762,200.9949
Campeche,Cuentas entre compañías,2012,4,False,200.508803,5.040041000000002
Campeche,Cuentas entre compañías,2013,1,False,28.984872,28.984872
Campeche,Cuentas entre compañías,2013,2,False,48.830835,19.845963
Campeche,Cuentas entre compañías,2013,3,False,51.549587,2.718752000000002
Campeche,Cuentas entre compañías,2013,4,False,-23.658135,-75.207722
Campeche,Cuentas entre compañías,2014,1,False,-3.702473,-3.702473
Campeche,Cuentas entre compañías,2014,2,False,-9.946776,-6.244303
Campeche,Cuentas entre compañías,2014,3,False,72.06894,82.015716
Campeche,Cuentas entre compañías,2014,4,False,72.81205566,0.7431156600000008
Campeche,Cuentas entre compañías,2015,1,False,90.1125733,90.1125733
Campeche,Cuentas entre compañías,2015,2,False,68.79783821,-21.31473509
Campeche,Cuentas entre compañías,2015,3,False,108.99915668,40.201318470000004
Campeche,Cuentas entre compañías,2015,4,False,159.79868002,50.79952334000001
Campeche,Cuentas entre compañías,2016,1,False,34.76616694,34.76616694
Campeche,Cuentas entre compañías,2016,2,False,44.70143051,9.935263570000004
Campeche,Cuentas entre compañías,2016,3,False,84.03205915,39.33062863999999
Campeche,Cuentas entre compañías,2016,4,False,78.98499464,-5.0470645099999984
Campeche,Cuentas entre compañías,2017,1,False,32.38012702,32.38012702
