entidad_federativa,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Durango,2025,2,False,-58.56831313,-44.67813512
Durango,2025,3,False,-87.83402836,-29.265715230000005
Durango,2025,4,False,-15.50749244,72.32653592
Durango,2026,1,False,100.1236188,100.1236188
Estado de México,2018,1,False,899.7180557,899.7180557
Estado de México,2018,2,False,1443.572742,543.8546863
Estado de México,2018,3,False,1937.99484,494.422098
Estado de México,2018,4,False,2347.1799,409.18506
Estado de México,2019,1,False,1172.396652,1172.396652
Estado de México,2019,2,False,1405.563501,233.16684900000018
Estado de México,2019,3,False,2092.910342,687.346841
Estado de México,2019,4,False,2950.106281,857.1959389999997
Estado de México,2020,1,False,870.0965153,870.0965153
Estado de México,2020,2,False,1335.849042,465.7525267000001
Estado de México,2020,3,False,1778.089143,442.24010099999987
Estado de México,2020,4,False,2402.466762,624.3776190000001
Estado de México,2021,1,False,568.9539731,568.9539731
Estado de México,2021,2,False,620.6292182,51.675245099999984
Estado de México,2021,3,False,1058.551953,437.92273479999994
Estado de México,2021,4,False,1624.823586,566.2716330000001
Estado de México,2022,1,False,797.6403974,797.6403974
Estado de México,2022,2,False,1401.608238,603.9678406
Estado de México,2022,3,False,1629.753925,228.14568699999995
Estado de México,2022,4,False,1805.870026,176.11610100000007
Estado de México,2023,1,False,891.7105078,891.7105078
Estado de México,2023,2,False,1329.933504,438.2229962000001
Estado de México,2023,3,False,1474.408707,144.47520299999996
Estado de México,2023,4,False,1927.172459,452.76375199999984
Estado de México,2024,1,False,674.8054806,674.8054806
Estado de México,2024,2,False,1709.324524,1034.5190434
Estado de México,2024,3,False,2594.543126,885.2186019999999
Estado de México,2024,4,False,2641.656697,47.113570999999865
Estado de México,2025,1,False,1888.258297,1888.258297
Estado de México,2025,2,False,2248.791111,360.5328139999999
Estado de México,2025,3,False,3164.74875,915.9576390000002
Estado de México,2025,4,False,3279.279238,114.53048799999988
Estado de México,2026,1,False,1983.190077,1983.190077
Guanajuato,2018,1,False,579.6492158,579.6492158
Guanajuato,2018,2,False,884.8355297,305.1863139000001
Guanajuato,2018,3,False,1906.289283,1021.4537533
Guanajuato,2018,4,False,2298.949269,392.6599860000001
Guanajuato,2019,1,False,-111.2118826,-111.2118826
