pais_origen,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Armenia,2024,4,False,0.0,0.0
Armenia,2025,1,False,0.0,0.0
Armenia,2025,2,False,0.0,0.0
Armenia,2025,3,False,0.0,0.0
Armenia,2025,4,True,,
Armenia,2026,1,False,0.0,0.0
Australia,2018,1,False,562.4514215,562.4514215
Australia,2018,2,False,550.3240411,-12.127380399999993
Australia,2018,3,False,637.3731288,87.04908769999997
Australia,2018,4,False,574.2703141,-63.10281470000007
Australia,2019,1,False,502.0579704,502.0579704
Australia,2019,2,False,455.1934815,-46.86448889999997
Australia,2019,3,False,559.076707,103.88322550000004
Australia,2019,4,False,770.3752966,211.2985895999999
Australia,2020,1,False,430.9501644,430.9501644
Australia,2020,2,False,425.2837243,-5.666440099999988
Australia,2020,3,False,441.3108718,16.027147499999955
Australia,2020,4,False,335.1160497,-106.19482209999995
Australia,2021,1,False,66.36872192,66.36872192
Australia,2021,2,False,38.09125724,-28.27746468
Australia,2021,3,False,50.77724418,12.68598694
Australia,2021,4,False,49.98910822,-0.7881359599999982
Australia,2022,1,False,24.23417235,24.23417235
Australia,2022,2,False,47.52128479,23.28711244
Australia,2022,3,False,145.6880939,98.16680911
Australia,2022,4,False,129.8433717,-15.844722200000007
Australia,2023,1,False,15.21980763,15.21980763
Australia,2023,2,False,14.48197582,-0.7378318099999994
Australia,2023,3,False,-16.13301762,-30.61499344
Australia,2023,4,False,82.00323993,98.13625755000001
Australia,2024,1,False,41.52471233,41.52471233
Australia,2024,2,False,276.3688571,234.84414477
Australia,2024,3,False,584.3960002,308.0271431
Australia,2024,4,False,606.5765579,22.18055770000001
Australia,2025,1,False,1208.977362,1208.977362
Australia,2025,2,False,1221.506902,12.529539999999997
Australia,2025,3,False,1633.726941,412.2200389999998
Australia,2025,4,False,1682.931027,49.20408600000019
Australia,2026,1,False,1445.911124,1445.911124
Austria,2018,1,True,,
Austria,2018,2,False,40.17683515,
Austria,2018,3,False,53.88241018,13.705575029999999
Austria,2018,4,False,109.6226793,55.74026912
Austria,2019,1,False,78.76005045,78.76005045
Austria,2019,2,False,129.2672435,50.50719305000001
Austria,2019,3,False,157.0707114,27.803467899999987
Austria,2019,4,False,163.2854991,6.2147877000000165
Austria,2020,1,False,22.09495612,22.09495612
Austria,2020,2,False,25.59942686,3.504470740000002
Austria,2020,3,False,25.07387121,-0.5255556500000012
Austria,2020,4,False,36.82296332,11.74909211
Austria,2021,1,False,17.31087349,17.31087349
Austria,2021,2,False,50.15659114,32.845717650000005
Austria,2021,3,False,54.62544166,4.468850519999997
Austria,2021,4,False,69.20676812,14.581326460000007
Austria,2022,1,False,0.69270385,0.69270385
Austria,2022,2,False,47.20912409,46.51642024
Austria,2022,3,False,47.83188609,0.6227619999999945
Austria,2022,4,False,29.10260441,-18.729281679999996
Austria,2023,1,True,,
Austria,2023,2,False,13.26513104,
Austria,2023,3,False,12.74089445,-0.5242365899999992
Austria,2023,4,False,15.84703076,3.10613631
