tipo_inversion,anio,trimestre,confidencial,ied_acumulado_mdd,flujo_mdd
Reinversión de utilidades,2023,4,False,26639.24930718,-325.75639449999653
Reinversión de utilidades,2024,1,False,27837.98851026,27837.98851026
Reinversión de utilidades,2024,2,False,31458.44717756,3620.4586673000013
Reinversión de utilidades,2024,3,False,30350.16369002,-1108.2834875400004
Reinversión de utilidades,2024,4,False,28710.31486654,-1639.8488234799988
Reinversión de utilidades,2025,1,False,19432.26907392,19432.26907392
Reinversión de utilidades,2025,2,False,32277.39417474,12845.125100819998
Reinversión de utilidades,2025,3,False,31752.60160622,-524.7925685199989
Reinversión de utilidades,2025,4,False,27649.33990823,-4103.261697990001
Total general,2006,1,False,7437.85643577,7437.85643577
Total general,2006,2,False,14072.16742706,6634.31099129
Total general,2006,3,False,16418.89036252,2346.7229354600004
Total general,2006,4,False,21236.85353986,4817.96317734
Total general,2007,1,False,10815.78141087,10815.78141087
Total general,2007,2,False,16953.41971478,6137.63830391
Total general,2007,3,False,24582.07330259,7628.65358781
Total general,2007,4,False,32394.03781846,7811.9645158700005
Total general,2008,1,False,8554.83151524,8554.83151524
Total general,2008,2,False,16931.58843361,8376.75691837
Total general,2008,3,False,22575.72579767,5644.1373640599995
Total general,2008,4,False,29521.41914786,6945.693350190002
Total general,2009,1,False,6105.29541363,6105.29541363
Total general,2009,2,False,12199.78876824,6094.493354609999
Total general,2009,3,False,14597.82536044,2398.0365922
Total general,2009,4,False,17851.25997536,3253.434614920001
Total general,2010,1,False,8722.79169874,8722.79169874
Total general,2010,2,False,18024.41307601,9301.621377270001
Total general,2010,3,False,21966.49719896,3942.08412295
Total general,2010,4,False,27199.002382,5232.505183039997
Total general,2011,1,False,8431.22346962,8431.22346962
Total general,2011,2,False,15128.6730297,6697.44956008
Total general,2011,3,False,19478.56810121,4349.89507151
Total general,2011,4,False,25632.57812453,6154.010023319999
Total general,2012,1,False,7893.18909919,7893.18909919
Total general,2012,2,False,13515.31999583,5622.130896639999
Total general,2012,3,False,19251.61605077,5736.296054940001
Total general,2012,4,False,21769.83139599,2518.21534522
Total general,2013,1,False,10571.57964906,10571.57964906
Total general,2013,2,False,31590.72560175,21019.14595269
Total general,2013,3,False,35769.53973695,4178.814135199998
Total general,2013,4,False,48356.7638495,12587.22411255
Total general,2014,1,False,13828.00834543,13828.00834543
Total general,2014,2,False,19306.93015988,5478.921814450001
Total general,2014,3,False,22529.05436985,3222.1242099699994
Total general,2014,4,False,30351.50531898,7822.450949129998
Total general,2015,1,False,12136.45616046,12136.45616046
Total general,2015,2,False,18793.30500847,6656.84884801
Total general,2015,3,False,28428.94887324,9635.643864769998
Total general,2015,4,False,35945.17943412,7516.230560880002
Total general,2016,1,False,12805.79587881,12805.79587881
Total general,2016,2,False,19016.44099833,6210.645119519999
Total general,2016,3,False,23336.53951849,4320.0985201600015
Total general,2016,4,False,31192.31440354,7855.774885049999
Total general,2017,1,False,13781.54393591,13781.54393591
Total general,2017,2,False,20618.88587609,6837.34194018
Total general,2017,3,False,26980.38783521,6361.50195912
Total general,2017,4,False,34043.05262685,7062.664791640003
Total general,2018,1,False,14075.43312567,14075.43312567
Total general,2018,2,False,23655.14907087,9579.7159452
Total general,2018,3,False,27788.67545185,4133.526380979998
Total general,2018,4,False,34110.95585474,6322.280402890003
Total general,2019,1,False,15213.11923941,15213.11923941
Total general,2019,2,False,21718.73892264,6505.619683230001
Total general,2019,3,False,29937.43622663,8218.69730399
Total general,2019,4,False,34621.97200311,4684.535776479999
Total general,2020,1,False,16782.62620391,16782.62620391
Total general,2020,2,False,24160.26854322,7377.642339310001
Total general,2020,3,False,25498.10811375,1337.839570529999
Total general,2020,4,False,28280.20106813,2782.092954380001
Total general,2021,1,False,16503.34100367,16503.34100367
Total general,2021,2,False,22430.73343271,5927.392429039999
Total general,2021,3,False,28863.38704278,6432.65361007
Total general,2021,4,False,33847.70894897,4984.321906190002
Total general,2022,1,False,22783.2591435,22783.2591435
Total general,2022,2,False,31165.29736116,8382.03821766
Total general,2022,3,False,34615.66941745,3450.3720562900016
